Фамилия|Имя|Отчество|Должность|Приказ|Год|РодНаграды
Амбриг|Юзеф||Красноармеец 3 р. Зав. стр. полка|Прик.РВСР № 144|1922 г.|Орден Красного Знамени
Амброжевич|Иван|Дмитриевич|Коновод Штаба 50 стр. бригады|Прик.РВСР № 594|1920 г.|Орден Красного Знамени
Амбровский|Иван|Николаевич|Красноармеец 262 стр. полка|Прик.РВСР № 12|1922 г.|Орден Красного Знамени
Амишков|Яков||Отд. ком, 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Амишенков|Артемий||Старш. пулеметчик бронепоезда № 121|Прик.РВСР № 50|1923 г.|Орден Красного Знамени
Амовзин|||Красноармеец 94 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Амозов|Иван|Васильевич|Б. Красн. командир|Прик.РВСР № 171|1922 г.|Орден Красного Знамени
Амурский|Николай|Викторович|Комполка 1 Сиб. стр. Отд, Зап.-Сиб. стр. бригады|Прик.РВСР № 54|1923 г.|Орден Красного Знамени
Анакин|Николай|Егорович|Начальник ком. кон. разведч. 398 стр. полка|Прик.РВСР № 156|1922 г.|Орден Красного Знамени
Ананьев|Василий||Боец 1 стр. полка|Прик.РВСР № 100|1924 г.|Орден Красного Знамени
Ананьев|Игнатий|Романович|Красноармеец 95 ст. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Ананьев|Степан||Комвзвода 15 пехот. Юрьевского полка|Прик.РВСР № 156|1919 г.|Орден Красного Знамени
Анастасьин|Алексей||Красноармеец 98 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Анасьев|Михаил||Взвод. ком. 256 стр. полка|Прик.РВСР № 155|1920 г.|Орден Красного Знамени
Андерсон|А.|Ф.|Красноармеец 95 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Андерсон|Карл|Эрнестович|Командир эскадрона 5 кав. полка|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Андерсон|Николай||Комбат 4 Лат. стр. полка|Прик.РВСР № 259|1920 г.|Орден Красного Знамени
Анциферов|Иван|Иванович|Вр. помкомполка 189|Прик.РВСР № 260|1920 г.|Орден Красного Знамени
Андреев|||Комвзвода 6 Хабаровск. стр. полка|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Андреев|Александр||Командир 165 стр. полка|Прик.РВСР № 261|1920 г.|Орден Красного Знамени
Андреев|Александр|Николаевич|Командир особ. лыжного отряда 6-й Армии|Прик.РВСР № 211|1919 г.|Орден Красного Знамени
Андреев|Василий|Александрович|Красноармеец 561 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Андреев|Василий|Александрович|Старш. 561 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Андреев|Василий||Красноармеец 2 полка отд. св. бригады курсантов.|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Андреев|Владимир||Комроты 2 полка отд. св. бригады курсантов.|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Андреев|Фадей||Красноармеец 228 Карельск. стр. полка|Прик.РВСР № 101|1920 г.|Орден Красного Знамени
Андреев|Георгий|Петрович|Комотделения 24 кав. пол.|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Андреев|Георгий|Петрович|Военкомдив 18 кав.|Прик.РВСР № 193|1922 г.|Орден Красного Знамени
Андреев|Евстигней|Иванович|Командир отделения 172 стр. полка|Прик.РВСР № 157|1923 г.|Орден Красного Знамени
Андреев|Иван||Красноармеец 1 легартдива 26 стр. дивизии|Прик.РВСР № 101|1920 г.|Орден Красного Знамени
Андреев|Иван|Федорович|Старшина 502 стр. полка|Прик.РВСР № 572|1920 г.|Орден Красного Знамени
Андреев|Карп|Евсеевич|Пом. взвод. ком. 64 стр. полка|Прик.РВСР № 46|1921 г.|Орден Красного Знамени
Андреев|Константин|Константинович|Б. наштабриг Особой при РВС 1-й Конной Армии|Прик.РВСР № 178|1921 г.|Орден Красного Знамени
